resume_id,full_name,age,city,profession,profession_category,experience_years,experience_level,work_experience,skills,salary,education,languages,job_expectations,created_date,ml_text
1,Петрова Валерия Валерьевна,24,Москва,Java разработчик,IT,3,Middle,"Junior Java разработчик в Тинькофф (2022-11 - настоящее время): Оптимизация баз данных, Тестирование ПО | Java разработчик в Газпром (2022-11 - 2025-09): Разработка приложений, Тестирование ПО","Java, SQL, Hibernate",211005,Высшее,Русский (родной),"Гибкий график, Профессиональный рост",2024-04-03,"Кандидат: Петрова Валерия Валерьевна. Профессия: Java разработчик. Опыт: 3 лет (Middle). Навыки: Java, SQL, Hibernate. Опыт работы: Junior Java разработчик в Тинькофф (2022-11 - настоящее время): Оптимизация баз данных, Тестирование ПО | Java разработчик в Газпром (2022-11 - 2025-09): Разработка приложений, Тестирование ПО. Образование: Высшее. Ожидания: Гибкий график, Профессиональный рост. Город: Москва"
2,Новиков Алексей Васильевич,35,Санкт-Петербург,Python разработчик,IT,5,Middle,"Junior Python разработчик в Газпром (2020-11 - настоящее время): Разработка приложений, Тестирование ПО | Старший Python разработчик в Яндекс (2020-11 - 2025-06): Разработка приложений, Тестирование ПО","Python, Django, Git",172490,Среднее специальное,Русский (родной),"Профессиональный рост, Конкурентная зарплата",2025-02-21,"Кандидат: Новиков Алексей Васильевич. Профессия: Python разработчик. Опыт: 5 лет (Middle). Навыки: Python, Django, Git. Опыт работы: Junior Python разработчик в Газпром (2020-11 - настоящее время): Разработка приложений, Тестирование ПО | Старший Python разработчик в Яндекс (2020-11 - 2025-06): Разработка приложений, Тестирование ПО. Образование: Среднее специальное. Ожидания: Профессиональный рост, Конкурентная зарплата. Город: Санкт-Петербург"
3,Козлов Борис Валерьевич,33,Москва,Проектный менеджер,Management,6,Senior,"Проектный менеджер в ВТБ (2019-11 - настоящее время): Планирование проектов, Переговоры | Старший Проектный менеджер в ВТБ (2022-11 - 2025-10): Переговоры, Управление командой","JIRA, Управление проектами, Scrum",259655,Высшее,"Русский (родной), Английский (B1)","Профессиональный рост, Конкурентная зарплата",2025-11-01,"Кандидат: Козлов Борис Валерьевич. Профессия: Проектный менеджер. Опыт: 6 лет (Senior). Навыки: JIRA, Управление проектами, Scrum. Опыт работы: Проектный менеджер в ВТБ (2019-11 - настоящее время): Планирование проектов, Переговоры | Старший Проектный менеджер в ВТБ (2022-11 - 2025-10): Переговоры, Управление командой. Образование: Высшее. Ожидания: Профессиональный рост, Конкурентная зарплата. Город: Москва"
4,Сидоров Артем Васильевич,22,Екатеринбург,UX/UI дизайнер,Design,1,Junior,"Junior UX/UI дизайнер в Тинькофф (2024-11 - настоящее время): Прототипирование, Разработка интерфейсов","Figma, Wireframing, User Research",107509,Высшее,"Русский (родной), Английский (B1)","Интересные проекты, Конкурентная зарплата",2025-05-18,"Кандидат: Сидоров Артем Васильевич. Профессия: UX/UI дизайнер. Опыт: 1 лет (Junior). Навыки: Figma, Wireframing, User Research. Опыт работы: Junior UX/UI дизайнер в Тинькофф (2024-11 - настоящее время): Прототипирование, Разработка интерфейсов. Образование: Высшее. Ожидания: Интересные проекты, Конкурентная зарплата. Город: Екатеринбург"
5,Новикова Варвара Викторовна,29,Екатеринбург,JavaScript разработчик,IT,4,Middle,"Junior JavaScript разработчик в Газпром (2021-11 - настоящее время): Разработка приложений, Тестирование ПО | JavaScript разработчик в Газпром (2021-11 - 2025-08): Оптимизация баз данных, Тестирование ПО","JavaScript, HTML/CSS, Vue",188349,Высшее,"Русский (родной), Английский (B2)","Конкурентная зарплата, Гибкий график",2025-10-26,"Кандидат: Новикова Варвара Викторовна. Профессия: JavaScript разработчик. Опыт: 4 лет (Middle). Навыки: JavaScript, HTML/CSS, Vue. Опыт работы: Junior JavaScript разработчик в Газпром (2021-11 - настоящее время): Разработка приложений, Тестирование ПО | JavaScript разработчик в Газпром (2021-11 - 2025-08): Оптимизация баз данных, Тестирование ПО. Образование: Высшее. Ожидания: Конкурентная зарплата, Гибкий график. Город: Екатеринбург"
6,Кузнецова Анастасия Викторовна,29,Екатеринбург,UX/UI дизайнер,Design,1,Junior,"UX/UI дизайнер в Сбербанк (2024-11 - настоящее время): Создание дизайнов, Разработка интерфейсов","Figma, Wireframing, User Research",76223,Среднее специальное,"Русский (родной), Английский (B2)","Профессиональный рост, Гибкий график",2024-08-14,"Кандидат: Кузнецова Анастасия Викторовна. Профессия: UX/UI дизайнер. Опыт: 1 лет (Junior). Навыки: Figma, Wireframing, User Research. Опыт работы: UX/UI дизайнер в Сбербанк (2024-11 - настоящее время): Создание дизайнов, Разработка интерфейсов. Образование: Среднее специальное. Ожидания: Профессиональный рост, Гибкий график. Город: Екатеринбург"
7,Лебедева Анастасия Борисовна,30,Санкт-Петербург,Экономист,Finance,2,Junior,"Junior Экономист в ВТБ (2023-11 - настоящее время): Ведение учета, Финансовая отчетность | Экономист в ВТБ (2023-11 - 2025-07): Ведение учета, Анализ показателей","Excel, Статистика, Экономический анализ",91966,Высшее,"Русский (родной), Английский (B1)","Интересные проекты, Конкурентная зарплата",2025-10-15,"Кандидат: Лебедева Анастасия Борисовна. Профессия: Экономист. Опыт: 2 лет (Junior). Навыки: Excel, Статистика, Экономический анализ. Опыт работы: Junior Экономист в ВТБ (2023-11 - настоящее время): Ведение учета, Финансовая отчетность | Экономист в ВТБ (2023-11 - 2025-07): Ведение учета, Анализ показателей. Образование: Высшее. Ожидания: Интересные проекты, Конкурентная зарплата. Город: Санкт-Петербург"
8,Иванов Артем Алексеевич,28,Санкт-Петербург,Бухгалтер,Finance,7,Senior,"Junior Бухгалтер в ВТБ (2018-11 - настоящее время): Анализ показателей, Финансовая отчетность | Бухгалтер в Сбербанк (2018-11 - 2025-06): Ведение учета, Анализ показателей","Налоги, 1С, Бухгалтерский учет",302915,Среднее специальное,"Русский (родной), Английский (B2)","Профессиональный рост, Гибкий график",2024-12-02,"Кандидат: Иванов Артем Алексеевич. Профессия: Бухгалтер. Опыт: 7 лет (Senior). Навыки: Налоги, 1С, Бухгалтерский учет. Опыт работы: Junior Бухгалтер в ВТБ (2018-11 - настоящее время): Анализ показателей, Финансовая отчетность | Бухгалтер в Сбербанк (2018-11 - 2025-06): Ведение учета, Анализ показателей. Образование: Среднее специальное. Ожидания: Профессиональный рост, Гибкий график. Город: Санкт-Петербург"
9,Петров Виктор Валентинович,23,Новосибирск,Инженер-проектировщик,Other,1,Junior,"Младший Инженер-проектировщик в Яндекс (2024-11 - настоящее время): Консультирование клиентов, Анализ данных","Черчение, Проектирование, AutoCAD",90918,Высшее,Русский (родной),"Гибкий график, Интересные проекты",2024-11-23,"Кандидат: Петров Виктор Валентинович. Профессия: Инженер-проектировщик. Опыт: 1 лет (Junior). Навыки: Черчение, Проектирование, AutoCAD. Опыт работы: Младший Инженер-проектировщик в Яндекс (2024-11 - настоящее время): Консультирование клиентов, Анализ данных. Образование: Высшее. Ожидания: Гибкий график, Интересные проекты. Город: Новосибирск"
10,Иванов Борис Артемович,33,Новосибирск,Java разработчик,IT,3,Middle,"Младший Java разработчик в Яндекс (2022-11 - настоящее время): Оптимизация баз данных, Разработка приложений | Java разработчик в Яндекс (2022-11 - 2025-06): Разработка приложений, Тестирование ПО","Spring, Hibernate, Java",169032,Среднее специальное,"Русский (родной), Английский (B2)","Интересные проекты, Профессиональный рост",2024-02-10,"Кандидат: Иванов Борис Артемович. Профессия: Java разработчик. Опыт: 3 лет (Middle). Навыки: Spring, Hibernate, Java. Опыт работы: Младший Java разработчик в Яндекс (2022-11 - настоящее время): Оптимизация баз данных, Разработка приложений | Java разработчик в Яндекс (2022-11 - 2025-06): Разработка приложений, Тестирование ПО. Образование: Среднее специальное. Ожидания: Интересные проекты, Профессиональный рост. Город: Новосибирск"
